Model,Loss
Mask-RCNN_1,123.24694061279295
Mask-RCNN_2,129.12290954589844
Mask-RCNN_3,112.19811248779295
Mask-RCNN_4,129.35055541992188
Mask-RCNN_1,123.24694061279297
